Tamaño Arreglo,Tiempo Total sin Filtro,Correctas sin Filtro,Tiempo Total del Filtro,Cantidad FP,Correctas
1024,7003.972053527832,281,183.03918838500977,30,281
2048,12217.997550964355,562,397.963285446167,62,562
4096,15648.560762405396,1080,538.0327701568604,87,1080
8192,17972.996711730957,2110,765.0027275085449,92,2110
16384,15827.99744606018,4166,1252.3760795593262,72,4166
32768,25314.666271209717,8265,4661.999702453613,81,8265
65536,46120.24545669556,16450,16045.964479446411,83,16450
